UC_AGENT_BASED
messagesSent
DSA-SDP
median
(17, 252)
(18, 258)
(19, 250)
(20, 237)
percentageOfVisitedNodes
DSA-SDP
median
(1, 50)
(2, 30)
(3, 22)
(4, 18)
(5, 14)
(6, 11)
(7, 10)
(8, 9)
(9, 8)
(10, 7)
(11, 7)
(12, 6)
(13, 6)
(14, 6)
(15, 5)
(16, 5)
(17, 4)
(18, 4)
(19, 4)
(20, 4)
confidence interval upper bound
(1, 54)
(2, 32)
(3, 24)
(4, 19)
(5, 15)
(6, 12)
(7, 11)
(8, 10)
(9, 9)
(10, 8)
(11, 7)
(12, 7)
(13, 6)
(14, 6)
(15, 5)
(16, 5)
(17, 5)
(18, 4)
(19, 4)
(20, 4)
confidence interval lower bound
(1, 46)
(2, 29)
(3, 21)
(4, 16)
(5, 13)
(6, 11)
(7, 10)
(8, 9)
(9, 8)
(10, 7)
(11, 6)
(12, 6)
(13, 6)
(14, 5)
(15, 5)
(16, 4)
(17, 4)
(18, 4)
(19, 3)
(20, 3)
CTS
median
(1, 99)
(2, 51)
(3, 34)
(4, 27)
(5, 23)
(6, 19)
(7, 16)
(8, 15)
(9, 13)
(10, 12)
(11, 11)
(12, 11)
(13, 10)
(14, 9)
(15, 8)
(16, 8)
(17, 7)
(18, 7)
(19, 6)
(20, 6)
confidence interval upper bound
(1, 100)
(2, 52)
(3, 36)
(4, 28)
(5, 24)
(6, 20)
(7, 17)
(8, 16)
(9, 14)
(10, 13)
(11, 12)
(12, 11)
(13, 10)
(14, 10)
(15, 9)
(16, 8)
(17, 8)
(18, 7)
(19, 7)
(20, 6)
confidence interval lower bound
(1, 98)
(2, 50)
(3, 34)
(4, 26)
(5, 21)
(6, 18)
(7, 16)
(8, 15)
(9, 13)
(10, 12)
(11, 11)
(12, 10)
(13, 9)
(14, 9)
(15, 8)
(16, 7)
(17, 7)
(18, 6)
(19, 6)
(20, 5)
CPU time
DSA-SDP
median
(1, 810)
(2, 1475)
(3, 2093)
(4, 2752)
(5, 3436)
(6, 4088)
(7, 4780)
(8, 5445)
(9, 6035)
(10, 6687)
(11, 7380)
(12, 7903)
(13, 8492)
(14, 9071)
(15, 9799)
(16, 10286)
(17, 10912)
(18, 11540)
(19, 12110)
(20, 12592)
confidence interval upper bound
(1, 847)
(2, 1522)
(3, 2143)
(4, 2848)
(5, 3487)
(6, 4151)
(7, 4878)
(8, 5586)
(9, 6140)
(10, 6834)
(11, 7531)
(12, 8088)
(13, 8591)
(14, 9206)
(15, 9886)
(16, 10458)
(17, 11050)
(18, 11701)
(19, 12285)
(20, 12813)
confidence interval lower bound
(1, 783)
(2, 1445)
(3, 2051)
(4, 2699)
(5, 3360)
(6, 4021)
(7, 4698)
(8, 5363)
(9, 5960)
(10, 6612)
(11, 7227)
(12, 7775)
(13, 8398)
(14, 8940)
(15, 9636)
(16, 10127)
(17, 10815)
(18, 11381)
(19, 11951)
(20, 12323)
CTS
median
(1, 70)
(2, 159)
(3, 220)
(4, 297)
(5, 313)
(6, 354)
(7, 447)
(8, 495)
(9, 523)
(10, 536)
(11, 554)
(12, 624)
(13, 579)
(14, 629)
(15, 631)
(16, 636)
(17, 670)
(18, 632)
(19, 578)
